time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s2),acc_Body_Y(m/s2),acc_Body_Z(m/s2),Isp(s),Mach number,attitude_azimuth(deg),attitude_elevation(deg),attitude_roll(deg),angle of attack alpha(deg),angle of attack beta(deg),all angle of attack gamma(deg),dynamic pressure(Pa),aeroforce_Body_X[N],aeroforce_Body_Y[N],aeroforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
736,166.2661190481557,0,41.846445806031404,145.28694148019417,6366.158254482783,-4055235.8571810857,2498506.2857429585,4237160.91947527,-146.6360801042901,-317.66223759845946,-37.42335519758937,-0.00034650239517119985,0.03563752840128842,56.09510770065245,5.243698041036381,-5.411845035755326,-7.573234197322247,-0.329463806186452,-0.0018598625294811155,2.105726382468405,0,0.17812872280190073,113,80,0,-10.033644956156657,0.01411279854234061,0,996.3766691733135,-54.778668421455116,-0.30923212473986844,350.11095339033415,0,0,0,0,0,0,270,168290.50356862452,0,0,-0.7469713101590755,-0.3178758322674761,-0.5839424775262485,0.27247582410382853,0.6547881919908254,-0.7049888998475972,0.6064575723644429,-0.685716689959961,-0.4024945142883083,351.86921533242554,261591.67078087106,0,0.32946380618645194,0,0,0
737,166.2661190481557,0,41.846445802932585,145.28694190746958,6310.152897199616,-4055382.5377402757,2498188.6546213664,4237123.555997336,-146.72488802706363,-317.6001040439386,-37.3037615977123,-0.00034255110618275353,0.035403493476746206,55.915848068237764,5.24438623578321,-5.411251556549345,-7.5731775680489495,-0.32942168091681834,-0.0018535458470957389,2.105353627895887,0,0.17742866465768553,113,80,0,-10.033530489160698,0.014066665572348112,0,996.2492723696053,-54.77166441635925,-0.3081818744743219,350.04897693420406,0,0,0,0,0,0,270,168290.61874997994,0,0,-0.7469911794854142,-0.31792358418738553,-0.5838910620898696,0.2724213478123748,0.6547650079854992,-0.7050314841011274,0.6064575723223173,-0.6857166899931744,-0.4024945142951961,351.83744753026775,259922.43714171802,0,0.32942168091681817,0,0,0
738,166.2661190481557,0,41.846445799869095,145.28694233194986,6254.326079544611,-4055529.306658916,2497871.0853394284,4237086.311632647,-146.81280095722934,-317.53855701753116,-37.185126620356144,-0.0003386386354762294,0.03517217375140902,55.73802531340427,5.24507170607676,-5.410661363829706,-7.573122823827813,-0.32938015831601763,-0.001847288398494018,2.1049856499322845,0,0.17673470354577545,113,80,0,-10.033417009247845,0.014020944734030562,0,996.1236981793463,-54.764760614671296,-0.30714147278028786,349.98779466630066,0,0,0,0,0,0,270,168290.73345776604,0,0,-0.747011044825215,-0.31797133438480796,-0.5838396435826237,0.27236687010826804,0.6547418205134896,-0.7050740645762736,0.606457572280672,-0.6857166900260093,-0.40249451430200556,351.80600813439054,258271.8621945015,0,0.32938015831601725,0,0,0
739,166.2661190481557,0,41.84644579684062,145.28694275366732,6198.6763739725575,-4055676.1630478348,2497553.577314411,4237049.185428804,-146.8998305017129,-317.47758895162605,-37.06743785543987,-0.00033476433921464377,0.03494352340105067,55.56162083486166,5.245754495863114,-5.410074397118757,-7.573069927698699,-0.3293392273442854,-0.0018410892846105753,2.1046223646645794,0,0.17604675670709818,113,80,0,-10.033304502092111,0.013975630077963508,0,995.9999132156736,-54.757955180852555,-0.3061107701733202,349.9273926347319,0,0,0,0,0,0,270,168290.84769651975,0,0,-0.7470309061785367,-0.31801908285985914,-0.5837882220043912,0.27231239099138077,0.6547186295747448,-0.705116641273148,0.6064575722395027,-0.6857166900584688,-0.40249451430873706,351.77489199363913,256639.64665187927,0,0.3293392273442853,0,0,0
740,166.2661190481557,0,41.846445793846776,145.2869431726538,6143.202371362597,-4055823.1060293624,2497236.1299710814,4237012.176445706,-146.98598805866112,-317.41719241431406,-36.95068311591402,-0.0003309275977763093,0.034717497649058515,55.386616365604425,5.246434648112107,-5.409490597341461,-7.573018843579987,-0.32929887721917467,-0.0018349476257778496,2.1042636901005403,0,0.17536474291469492,113,80,0,-10.033192953690026,0.013930715777665099,0,995.8778848699087,-54.751246322147324,-0.30508962039470633,349.86775720696795,0,0,0,0,0,0,270,168290.96147069754,0,0,-0.7470507635454363,-0.3180668296126481,-0.5837367973550572,0.2722579104615931,0.6546954351692162,-0.7051592141918572,0.606457572198804,-0.6857166900905572,-0.4024945143153916,351.74409406342454,255025.49749940395,0,0.3292988772191748,0,0,0
741,166.2661190481557,0,41.84644579088726,145.28694358894046,6087.902680706233,-4055970.1347371256,2496918.7427415713,4236975.28375533,-147.07128482226096,-317.3573601062543,-36.83485043261001,-0.0003271278135272837,0.034494052732885194,55.21299396519349,5.247112204847112,-5.408909906781518,-7.572969536240764,-0.3292590974075354,-0.0018288625611535547,2.1039095461090858,0,0.17468858243771662,113,80,0,-10.033082350347646,0.013886196126038745,0,995.7575812873089,-54.74463228724965,-0.3040778803154486,349.8088750599246,0,0,0,0,0,0,270,168291.0747846753,0,0,-0.7470706169259668,-0.3181145746432775,-0.5836853696345162,0.2722034285187926,0.654672237296859,-0.7052017833325009,0.6064575721585722,-0.6857166901222777,-0.40249451432196987,351.7136094029831,253429.12783284107,0,0.32925909740753584,0,0,0
742,166.2661190481557,0,41.84644578796172,145.2869440025581,6032.775928770192,-4056117.2483158447,2496601.415065247,4236938.506441517,-147.15573178742036,-317.2980848576308,-36.71992804923739,-0.00032336440873592665,0.0342731458724117,55.040736012259885,5.247787207170078,-5.408332269045038,-7.572921971277955,-0.32921987761900245,-0.0018228332482002063,2.103559854370716,0,0.17401819700638685,113,80,0,-10.032972678668683,0.01384206553218606,0,995.6389713473673,-54.738111365220284,-0.30307540985019105,349.7507331717226,0,0,0,0,0,0,270,168291.18764280214,0,0,-0.7470904663201796,-0.31816231795184524,-0.5836339388426666,0.2721489451628727,0.65464903595763,-0.7052443486951749,0.6064575721188024,-0.6857166901536339,-0.40249451432847266,351.6834331727223,251850.25670055713,0,0.3292198776190023,0,0,0
743,166.2661190481557,0,41.84644578506986,145.2869444135369,5977.820759788156,-4056264.4459211375,2496284.146388582,4236901.843599757,-147.23933975431788,-317.23935962519516,-36.60590441752223,-0.00031963682398483684,0.03405473523935498,54.86982519721916,5.248459695288005,-5.407757629021667,-7.572876115091768,-0.3291812077989201,-0.0018168588621280124,2.1032145383246488,0,0.1733535097780106,113,80,0,-10.032863925543083,0.013798318517901795,0,995.5220246424246,-54.73168188431087,-0.3020820718640787,349.69331881289787,0,0,0,0,0,0,270,168291.3000493465,0,0,-0.7471103117281227,-0.3182100595384415,-0.5835825049794149,0.27209446039373447,0.6546258311514899,-0.7052869102799681,0.60645757207949,-0.6857166901846291,-0.4024945143349005,351.653560631648,250288.60895076077,0,0.32918120779891974,0,0,0
744,166.2661190481557,0,41.84644578221134,145.28694482190656,5923.035835149698,-4056411.7267193263,2495966.936165029,4236865.294336988,-147.32211933282773,-317.18117748939113,-36.49276819247906,-0.00031594451670358126,0.03383877992899542,54.70024451518593,5.249129708537411,-5.407185932848828,-7.572831934863084,-0.3291430781218272,-0.001810938595410816,2.1028735231201123,0,0.17269444530391018,113,80,0,-10.032756078137254,0.013754949714751868,0,995.406711457958,-54.72534221088018,-0.30109773209329777,349.6366195383032,0,0,0,0,0,0,270,168291.4120085769,0,0,-0.7471301531498422,-0.31825779940315263,-0.5835310680446724,0.27203997421128434,0.654602622878401,-0.7053294680869655,0.6064575720406311,-0.685716690215267,-0.4024945143412543,351.6239871348691,248743.91508338804,0,0.32914307812182747,0,0,0
745,166.2661190481557,0,41.846445779385846,145.2869452276964,5868.419833100401,-4056559.08988725,2495649.7838549013,4236828.857771393,-147.40408094681877,-317.12353165156105,-36.38050822781775,-0.00031228695977247867,0.033625239932394635,54.53197725909065,5.249797285408366,-5.406617127876574,-7.572789398531268,-0.3291054789850631,-0.0018050716573031478,2.102536735568481,0,0.17204092949731786,113,80,0,-10.03264912388408,0.013711953861038814,0,995.2930027532394,-54.7190907483308,-0.3001222590636431,349.5806231791499,0,0,0,0,0,0,270,168291.523524574,0,0,-0.747149990585382,-0.3183055375460596,-0.5834796280383556,0.2719854866154343,0.6545794111383287,-0.7053720221162476,0.6064575720022212,-0.685716690245551,-0.4024945143475347,351.59470813117946,247215.91110654856,0,0.32910547898506304,0,0,0
