time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s2),acc_Body_Y(m/s2),acc_Body_Z(m/s2),Isp(s),Mach number,attitude_azimuth(deg),attitude_elevation(deg),attitude_roll(deg),angle of attack alpha(deg),angle of attack beta(deg),all angle of attack gamma(deg),dynamic pressure(Pa),aeroforce_Body_X[N],aeroforce_Body_Y[N],aeroforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
11,923.5212840266549,11066.416952195845,42.50572136865737,143.45777828913393,96.77044076658785,-3785784.530411233,2800951.0788702425,4287248.667454076,-229.82634303143456,-280.8543144704702,5.237034066885807,-8.106955548881938,19.063961133236084,-16.596362397011767,-2.5495691497170743,-0.18320986121289362,0.8442082615810751,11.957396368080675,-0.00039810244319582466,-0.2733350137587287,220,0.0780891191395295,113,80,0,41.30062365335048,0.03910086033586231,0,427.57029538522596,-23.50690473032027,-0.36765607951546947,-252.43070287590595,11066.416952195845,0,0,0,0,0,270,115.83627500503508,0,0,-0.7155602366951188,-0.2675890840216495,-0.6452670995589967,0.3305777596043953,0.6840255678918856,-0.6502517722583478,0.6153794703398581,-0.6786052641872432,-0.4010024973757613,362.9417590105857,325354.97245387937,6.141146501676533,0.025453560342245243,4.25933123127742,1,0
12,916.5686734836236,11074.64235203698,42.505645378412474,143.45801977999722,114.38401349075139,-3786015.5976339593,2800670.1645445004,4287254.345232174,-232.31038113109807,-280.9614009688845,6.1325276243528215,-8.771940681959052,20.62460046143679,-18.647313181425808,-2.579359220280561,-0.11416969064457216,0.9259073888289162,12.051831322077213,-0.0005070322523774706,-0.33188304043910843,220,0.08578814622844402,113,80,0,40.23939169198986,0.04103748427935889,0,514.9581708397304,-28.31130411228236,-0.4647298789743744,-304.1935981269857,11074.64235203698,0,0,0,0,0,270,137.41516999338756,0,0,-0.715586390151128,-0.26764112263663226,-0.6452165122687736,0.33052304856827663,0.6840043898634052,-0.6503018599179334,0.6153784466453225,-0.6786060890689044,-0.4010026724137832,364.6162776272307,389561.5649588572,6.2820318678198435,0.030888361048473256,4.2826661673301825,1,0
13,909.6160629405922,11083.832366195104,42.50556351108147,143.45827990882051,134.09856044035405,-3786249.1549270772,2800389.182938755,4287260.961221409,-234.80567212523326,-280.98786202463725,7.114165120868187,-9.412161661952432,22.126656846898282,-20.79875053618317,-2.606254529748898,-0.040139626207006174,1.011516172828765,12.148237450410532,-0.0006305852464079109,-0.39712112948305434,220,0.09356832156005117,113,80,0,39.140809133273976,0.042677297216177405,0,611.1630735507619,-33.60044488521756,-0.5735904691848869,-361.22775831089695,11083.832366195104,0,0,0,0,0,270,160.65887443694987,0,0,-0.7156126976717985,-0.2676933261073854,-0.6451656764649341,0.3304681402144764,0.683983079405163,-0.6503521779702252,0.6153773437770327,-0.6786069777455839,-0.40100286098845767,366.24922336125996,459704.38296234526,6.425600375005039,0.0369391507627895,4.305297359354861,1,0
14,902.6634523975608,11094.028764648197,42.505476004843,143.45855791453087,156.01590530574322,-3786485.2110836413,2800108.2177599864,4287268.60371244,-237.30727006536782,-280.9274930959004,8.186263769081053,-10.024229019915683,23.56218175203785,-23.05336696829153,-2.6301702093629853,0.03905861196775362,1.1011795173329757,12.246700656756161,-0.0007687116551533535,-0.46927839886821143,220,0.10142814303026823,113,80,0,38.00280752275723,0.044051151783861264,0,716.2821751973546,-39.37966934120322,-0.6938879165390442,-423.6004596579791,11094.028764648197,0,0,0,0,0,270,185.49957930139698,0,0,-0.7156391527660624,-0.26774568758590794,-0.6451146020727028,0.33041304249063375,0.6839616417130242,-0.6504027167972988,0.6153761649433255,-0.6786079276315404,-0.4010030625509872,367.83421770890425,535784.6050999843,6.5718238900830155,0.043626081499818156,4.32716227180481,1,0
15,895.7108418545295,11105.273577010286,42.50538312892699,143.45885293761611,180.24061961472034,-3786723.769868621,2799827.3590347604,4287277.365394281,-239.810062986788,-280.7738640509974,9.353308354406948,-10.604627918525274,24.922946707048094,-25.413966184663572,-2.6510209017794244,0.12360767027113884,1.1950458993104913,12.3473100703332,-0.0009209727557859537,-0.5485885672251372,220,0.10936749827528719,113,80,0,36.82336572924741,0.04517259440673691,0,830.4082729877478,-45.65407927322368,-0.8249252824089389,-491.3767273809963,11105.273577010286,0,0,0,0,0,270,211.86011199417274,0,0,-0.7156657481094078,-0.26779819934634386,-0.645063300312347,0.3303577643775477,0.6839400826635786,-0.6504534655466183,0.6153749137708412,-0.6786089358039672,-0.4010032764810492,369.36474306710414,617808.0811275522,6.720630318451789,0.05096966246238455,4.34819613763506,1,0
16,888.7582313114981,11117.609032679637,42.5052851847728,143.4591640167164,206.88013557251543,-3786964.829851783,2799546.7033346575,4287287.343525467,-242.30877235371932,-280.5203123404619,10.619952336664094,-11.14971968250384,26.200437519016567,-27.883466378847544,-2.6687164521818207,0.2136983037955611,1.2932695812371566,12.450157558594505,-0.0010866370877637976,-0.6352960546278923,220,0.1173878649667477,113,80,0,35.60051709675401,0.046050719203876024,0,953.6386182757216,-52.42902135370424,-0.9657576561973816,-564.6245978702577,11117.609032679637,0,0,0,0,0,270,239.65446377467563,0,0,-0.7156924755146491,-0.2678508527556218,-0.6450117837449169,0.330302315924725,0.6839184088385843,-0.65050441208839,0.6153735943201304,-0.6786099989904254,-0.40100350208413194,370.83415455266504,705792.6282209291,6.871899909478929,0.05899132014376648,4.368331938362253,1,0
17,881.8056207684667,11131.077494122579,42.505182507142955,143.45949008507876,236.04486220236868,-3787208.3842386086,2799266.3540143324,4287298.6401038235,-244.79794636929427,-280.1599324423318,11.991022004150643,-11.655739242647451,27.385841837491665,-30.464903575831194,-2.68315678050286,0.3095338290581049,1.3960132229456361,12.555337132601668,-0.0012647829616172501,-0.7296632337331594,220,0.1254925110921948,113,80,0,34.33235618839496,0.04669572816147422,0,1086.0849718220732,-59.7106399513838,-1.115292724606992,-643.4211407739941,11131.077494122579,0,0,0,0,0,270,268.7871387911254,0,0,-0.7157193259023147,-0.2679036382420551,-0.6449600663193079,0.3302467082879367,0.6838966275497504,-0.65055554297159,0.6153722111006628,-0.6786111135567616,-0.4010037385889728,372.2356873023056,799776.0674885885,7.025461592837223,0.06771406140431244,4.387500390965725,1,0
18,874.8530102254354,11145.721382893924,42.505075465294155,143.4598299668219,267.84830489661545,-3787454.420690534,2798986.42146119,4287311.362043259,-247.27198028901165,-279.6855963591074,13.471503394919651,-12.118807487096127,28.470077743538166,-33.16142573595972,-2.694225169659741,0.4113360230899419,1.503451223296243,12.66294414322439,-0.001454333602274538,-0.8319799357924569,220,0.13368678075471951,113,80,0,33.017101597300694,0.04711867025721198,0,1227.8864043303622,-67.50658087752342,-1.272328129823935,-727.8601512751957,11145.721382893924,0,0,0,0,0,270,299.1528217353,0,0,-0.7157462892694625,-0.2679565452622371,-0.6449081634218332,0.3301909537687988,0.6838747468648305,-0.6506068433776386,0.6153707690866101,-0.6786122754944025,-0.40100398514486496,373.562506751572,899826.1174127721,7.181082771337515,0.07716334068522902,4.405629942466439,1,0
19,867.900399682404,11161.583063148608,42.50496446273917,143.46018237768305,302.4071124624461,-3787702.921406272,2798707.023080061,4287325.6211862,-249.72559292982248,-279.0904384226838,15.066241579521273,-12.535217168865739,29.444466862671455,-35.97615962281874,-2.701769967024024,0.5193610719507422,1.6157786505416132,12.773072938022473,-0.0016541205839883943,-0.9425892081435538,220,0.14197947329161165,113,80,0,31.653875609418723,0.047331222195987004,0,1379.2450140992403,-75.82795506640417,-1.4356119159661174,-818.0735504841116,11161.583063148608,0,0,0,0,0,270,330.6364508173808,0,0,-0.7157733546965158,-0.2680095623080193,-0.6448560918669836,0.3301350658073733,0.6838527756028472,-0.6506582971304086,0.6153692737136434,-0.6786134804229471,-0.40100424082221026,374.8083993435176,1006066.8277171275,7.338378516633357,0.08736942060880759,4.422646813224198,1,0
20,860.9477891393726,11178.704717986715,42.50484993720929,143.46054592512024,339.8411281686276,-3787953.8631618414,2798428.283313266,4287341.534335173,-252.1530451584478,-278.36707342996846,16.780419813541894,-12.9009689793153,30.299641113886732,-38.91241375747822,-2.7056130718528015,0.6338922265288183,1.7332071686108694,12.885817992563718,-0.0018628783250376202,-1.0618754276224678,220,0.15038105583656422,113,80,0,30.241410517158698,0.04734546433429163,0,1540.4053271217379,-84.6882060366341,-1.6038409753770404,-914.2193017529887,11178.704717986715,0,0,0,0,0,270,363.1134275846919,0,0,-0.7158005103486511,-0.2680626769077137,-0.6448038698966384,0.3300790589815371,0.6838307233337422,-0.6507098866981459,0.6153677308784347,-0.6786147235905817,-0.40100450461260995,375.96671161389065,1118663.5545272296,7.496965431651149,0.09836625066578171,4.438475050656855,1,0
21,853.9951785963412,11197.128293248745,42.50473236407919,143.46091909738905,380.27360947523266,-3788207.2167030824,2798150.3343092054,4287359.223681958,-254.54809717354823,-277.50755761564665,18.619581604723482,-13.211747513996249,31.025486012212724,-41.97368483331908,-2.705542549368647,0.755246351718232,1.855968742838261,13.001273054993494,-0.002079269609211565,-1.190274808894753,220,0.15890394502209979,113,80,0,28.778140715855727,0.047173611348927565,0,1711.6666434822948,-94.10378866977686,-1.7756862212678666,-1016.4889480008017,11197.128293248745,0,0,0,0,0,270,396.4483216972309,0,0,-0.7158277433837652,-0.26811587552868676,-0.6447515173239937,0.33002294912200636,0.6838086004539841,-0.6507615930569175,0.6153661469848012,-0.6786159998369101,-0.4010047754209802,377.03032653569204,1237832.3952021098,7.6564428639403195,0.11019241212163446,4.453036506601594,1,0
22,847.0425680533099,11216.895398361004,42.50461225853043,143.46130025663498,423.83137811068445,-3788462.946369291,2797873.3163515646,4287378.817086417,-256.9041653068976,-276.5035554480949,20.589524262355855,-13.46301781302976,31.61136807044952,-45.16360547909189,-2.7012987853000405,0.8837860737243544,1.9843224458862618,13.11952941862795,-0.002301922198729045,-1.3282949635136996,220,0.16756325252802026,113,80,0,27.26256511417808,0.04682781536320057,0,1893.4073879737145,-104.09550795544007,-1.9498260906703693,-1125.1223770269214,11216.895398361004,0,0,0,0,0,270,430.4945182717069,0,0,-0.7158550398945213,-0.2681691435159015,-0.6446990556248405,0.32996675338528414,0.6837864182345537,-0.6508133956045582,0.615364528972859,-0.6786173035694771,-0.4010050520605738,377.99192430106444,1363858.263944075,7.816346909956401,0.12289288860024407,4.4662508642669545,1,0
23,840.0899575102785,11238.047190674908,42.50449017768698,143.46168763207433,470.6449583917856,-3788721.0097159934,2797597.3782789945,4287400.448345131,-259.2142530361926,-275.3462820242322,22.696329470900704,-13.64998830512015,32.04604755021267,-48.48594905311922,-2.692564048524207,1.019928970435469,2.118559599780615,13.24067462894104,-0.002529449804428374,-1.476529669416045,220,0.17637699490378048,113,80,0,25.693241933162586,0.046320002113548885,0,2086.1012120143387,-114.68940424040768,-2.1249653787269382,-1240.4177472423921,11238.047190674908,0,0,0,0,0,270,465.0933792499729,0,0,-0.7158823848511787,-0.2682224650312695,-0.6446465080277239,0.3299104903257054,0.6837641888683432,-0.6508652720757724,0.6153628843477981,-0.6786186287405955,-0.40100533324806575,378.84393537858165,1497106.9233758163,7.976148451448467,0.1365203847696328,4.47803568617122,1,0
24,833.1373469672471,11260.624250493365,42.50436672311739,143.46207931200993,520.8487204276025,-3788981.3570616604,2797322.6779679325,4287424.257493406,-261.4708675711722,-274.0264341767351,24.94639953794883,-13.767566232468312,32.31757357982044,-51.94463462896417,-2.678950704368818,1.1641579543644847,2.2590095716071072,13.364791015759334,-0.0027604674746752877,-1.6356755478975744,220,0.18536632319987043,113,80,0,24.06878150419398,0.045661733167480956,0,2290.334593880015,-125.9177208519303,-2.2998485482392774,-1362.7423864745806,11260.624250493365,0,0,0,0,0,270,500.0737831297362,0,0,-0.7159097620345811,-0.26827582298261543,-0.6445938996194344,0.3298541799797269,0.6837419255256185,-0.6509171984426448,0.6153612212135984,-0.6786199688201932,-0.40100561759779496,379.5784820902589,1638038.2149166781,8.135251404670509,0.15113680992730777,4.488306475659216,1,0
25,826.1847364242158,11284.666446399337,42.504242543774744,143.4624732344538,574.5810284111649,-3789243.930943044,2797049.382890547,4287450.391146635,-263.66592019061676,-272.5341088612097,27.34650001918071,-13.810304616661668,32.41315940805035,-55.543732186558586,-2.6599877980104774,1.3170330960310208,2.406046360034046,13.491954015346154,-0.0029936008883986176,-1.8065510451605116,220,0.1945557809182196,113,80,0,22.38783681563551,0.044864094845737175,0,2506.826306267649,-137.81997438293146,-2.4732673609411617,-1492.5448990828288,11284.666446399337,0,0,0,0,0,270,535.251068255393,0,0,-0.7159371539573759,-0.26832919894020935,-0.6445412574688435,0.3297978439648645,0.683719642419117,-0.6509691487976996,0.6153595483126424,-0.6786213167639079,-0.40100590361499716,380.1873078181825,1787220.8333329684,8.292991175566353,0.16681496075493452,4.496976753263297,1,0
26,819.2321258811844,11310.212790513559,42.50411833960599,143.46286717618568,631.98439421691,-3789508.6654569716,2796777.6707489816,4287479.002900128,-265.79059603214426,-270.85873786762727,29.903840132469547,-13.772298175968476,32.319052677299005,-59.28746802866364,-2.6351282527377213,1.4791851750206089,2.560080578140435,13.622230234874628,-0.003224550624525868,-1.990084375092139,220,0.20397360080097818,113,80,0,20.649091594723906,0.04389760849107866,0,2736.4492662182615,-150.44415595426824,-2.6416554631404994,-1630.3410532896598,11310.212790513559,0,0,0,0,0,270,570.4262001104624,0,0,-0.715964541770491,-0.2683825730410445,-0.6444886107723231,0.329741505593936,0.6836973548812131,-0.6510210952166425,0.6153578750743464,-0.6786226649739169,-0.4010061896874961,380.66170870345604,1945349.1092306944,8.448633296736132,0.18364044963745427,4.503958149245702,1,0
27,812.279515338153,11337.301283322036,42.50399486561664,143.4632587397776,693.2056365301833,-3789775.485478723,2796507.730226672,4287510.253770039,-267.83524884623733,-268.988888344061,32.626044751292866,-13.647226541849797,32.020312586445904,-63.180230448773486,-2.603701981884768,1.6513530455402474,2.7215903632479996,13.75567519495699,-0.003454133040146523,-2.187380453496787,220,0.21365205408485424,113,80,0,18.851245759153034,0.04280979552993755,0,2980.2554833106747,-163.8481028133165,-2.805721511762506,-1776.7643346265181,11337.301283322036,0,0,0,0,0,270,605.3844468518458,0,0,-0.7159919051540222,-0.26843592387321513,-0.6444359910249015,0.32968519001185453,0.6836750794538567,-0.6510730075963906,0.6153562116699245,-0.6786240052548216,-0.4010064740763458,380.9923901775637,2113262.4238756644,8.601372174923265,0.20171394171513277,4.509160513734214,1,0
28,805.3269047951217,11365.968747755447,42.50387293621442,143.4636453380826,758.3960457965732,-3790044.3057433506,2796239.7618979695,4287544.312661151,-269.78920766542484,-266.9122057823646,35.52129656372466,-13.42816692467471,31.500649389737426,-67.2265756872165,-2.564859259817868,1.8344445417126591,2.891150386033729,13.892330667931574,-0.003681572836510938,-2.3998086707853377,220,0.22362786759807043,113,80,0,16.992998106698426,0.04161779200628705,0,3239.5050208736066,-178.10109055976602,-2.964869657203694,-1932.6304889440526,11365.968747755447,0,0,0,0,0,270,639.8942180285377,0,0,-0.7160192221911732,-0.26848922833272804,-0.6443834322218748,0.3296289243623815,0.6836528339924056,-0.6511248534634901,0.615354569070911,-0.6786253287665062,-0.40100675490583043,381.16939105588364,2291968.0448302794,8.750329911283385,0.22115378177396872,4.512492045909064,1,0
29,798.3742942520903,11396.250652223454,42.50375343114069,143.46402417647013,827.7115552835166,-3790315.029724865,2795973.979219343,4287581.356968928,-271.64058891456887,-264.6152464612408,38.598402428632866,-13.107509920541059,30.74217824249222,-71.43123422959354,-2.5176149927096363,2.029487547561035,3.0694014833081376,14.032221500631813,-0.003905517152356097,-2.628930319926763,220,0.23394272951020703,113,80,0,15.073026096126796,0.040329732881937745,0,3515.7002228819374,-193.28571486752313,-3.118064500200636,-2098.8703888094506,11396.250652223454,0,0,0,0,0,270,673.7053050326828,0,0,-0.7160464692155808,-0.26854246146860483,-0.6443309710950444,0.3295727379729608,0.6836306377912393,-0.6511765977506789,0.6153529591290728,-0.6786266259597586,-0.401007030149806,381.181944582426,2482668.441537042,8.894555065304198,0.24209912100012113,4.513859443774432,1,0
30,791.4216837090589,11428.173953434885,42.50363698237076,143.46439324964493,901.2967967586592,-3790587.607732418,2795710.5495602987,4287621.536163016,-273.5563673641573,-262.2659032292298,41.75428370463993,-12.78466294725957,29.979114882268355,-75.75011014265041,-2.727311153156177,1.9678421470160208,3.0907573170248277,14.17493389926085,-0.004131412129598999,-2.462444302923813,220,0.24483262567167138,113,80,0,13.279665852713187,0.03895753936040785,0,3816.5155348830563,-209.82390041724878,-3.2696891437037054,-1948.8318162597434,11428.173953434885,0,0,0,0,0,270,706.6380438011281,0,0,-0.7160736292512307,-0.26859560539220056,-0.6442786340202259,0.32951665189326984,0.6836085047102995,-0.6512282153076587,0.6153513903584039,-0.6786278899748712,-0.4010072983528273,381.26094781632844,2690942.197825555,9.020221228858711,0.26512275912620037,4.513176881666265,1,0
